Date,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA
2024-03-15,0.7593065823997659,-1.0852517811429863,-0.04497515409331515,-0.7445564937004331,1.728551939424594,-0.7487940348103481
2024-03-18,0.4905454714759998,-1.1109530333201614,0.017068869571566284,-2.0994444917081174,0.8716308524197521,-0.7524436881295025
2024-03-19,-0.0015776085567023074,-1.568379722277057,-0.40389805724046285,-1.728903175005054,0.9592847717607705,-0.8243869696683525
2024-03-20,-0.5518480840998216,-1.8854286214710996,-1.454979958809864,-1.85785249934773,0.571294094003951,-0.9922056452605768
2024-03-21,0.8205768454640394,-2.067891022645337,-1.3014334021824976,-1.527876405978335,0.7040672334327074,-1.0945076136587382
2024-03-22,0.5525112254605586,-1.7159084467710863,-1.478808566754855,-1.886714698963755,0.774295705756071,-1.5037485671776814
2024-03-25,0.7930089439777305,-0.9218830423020885,-1.641162646954534,-1.5498546943784983,0.5623460369686597,-1.492943710927076
2024-03-26,1.000082002912256,-0.7017764367853023,-0.9107315629706095,-1.4599235747911061,0.07815069998736128,-0.9286253956338069
2024-03-27,-0.04416719818643391,-0.6033608809908128,-1.4555089109638057,-1.3297719145249614,-0.2307720204484105,-0.348742370421268
2024-03-28,0.4215207393792129,-0.47347124230292964,-1.5170106530617948,-1.2040284088918072,0.044021539947852836,-0.2862269826317131
2024-04-01,0.8982762512408128,-0.8647331309827365,-1.5998977958613485,-1.6170638689092964,-0.07454400971765336,-0.1903397593894547
2024-04-02,1.2530757197638787,-0.45505305356763576,-1.3540787504691583,-1.3500726228502102,1.393075980821678,0.24307624680796552
2024-04-03,0.9046239545098211,-0.2565323481709407,-1.7483082356432809,-1.2817532412096349,0.9556723541917621,0.5369437758159403
2024-04-04,1.226077682334039,0.20281647692790936,-0.8023602799670225,-0.6125209053280743,0.35132611888874615,1.67219584941305
2024-04-05,0.9440561281053214,-0.846657408814872,-2.1892693848866864,-0.8416271698152944,1.4505192619222256,0.7453048443657624
2024-04-08,1.3012007758029365,-0.6528566923961606,-1.9273825553182513,-1.1619763759817188,-0.1940696859870798,1.0849698958575698
2024-04-09,0.7549338251192959,-1.0030022819355182,-1.863105501701236,-1.3843339383278606,-1.0030326323502607,1.7691657815522215
